model,activity,trim_condition,frame_count,prompt_type,view,file,n,accuracy,class_breakdown,predicted_distribution,extraction_status
videollava,climbing,entire,8,reasoning,exo,dissertation_v2/results/videollava/reasoning_n8_test03.csv,100,0.19,Novice: 0/25=0.0%; Early Expert: 2/25=8.0%; Intermediate Expert: 16/25=64.0%; Late Expert: 1/25=4.0%,Intermediate Expert:68; Unknown:24; Early Expert:4; Late Expert:3; Novice:1,recomputed
videollava,climbing,entire,8,reasoning,exo,dissertation_v2/results/videollava/vl_climbing_entire_n8_reasoning.csv,100,0.23,Novice: 0/25=0.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 22/25=88.0%; Late Expert: 1/25=4.0%,Intermediate Expert:81; Late Expert:10; Unknown:9,recomputed
videollava,climbing,trimmed,16,reasoning,ego,dissertation_v2/results/videollava/trimmed/reasoning_n16.csv,100,0.0,Novice: 0/25=0.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Unknown:100,trusted-clean
videollava,climbing,trimmed,16,reasoning,exo,dissertation_v2/results/videollava/trimmed/reasoning_n16.csv,100,0.0,Novice: 0/25=0.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Unknown:100,trusted-clean
videollava,climbing,trimmed,8,reasoning,ego,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_reasoning.csv,100,0.21,Novice: 0/25=0.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 21/25=84.0%; Late Expert: 0/25=0.0%,Intermediate Expert:87; Unknown:11; Late Expert:2,recomputed
videollava,climbing,trimmed,8,reasoning,exo,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_reasoning.csv,100,0.24,Novice: 0/25=0.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 22/25=88.0%; Late Expert: 2/25=8.0%,Intermediate Expert:87; Unknown:10; Late Expert:3,recomputed
videollava,climbing,entire,16,structured,ego,dissertation_v2/results/videollava/structured_n16_vl.csv,100,0.0,Novice: 0/25=0.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Unknown:100,trusted-clean
videollava,climbing,entire,16,structured,exo,dissertation_v2/results/videollava/structured_n16_vl.csv,100,0.0,Novice: 0/25=0.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Unknown:100,trusted-clean
videollava,climbing,entire,8,structured,ego,dissertation_v2/results/videollava/vl_climbing_entire_n8_structured.csv,100,0.23,Novice: 14/25=56.0%; Early Expert: 1/25=4.0%; Intermediate Expert: 1/25=4.0%; Late Expert: 7/25=28.0%,Novice:61; Late Expert:26; Unknown:9; Intermediate Expert:3; Early Expert:1,trusted-clean
videollava,climbing,entire,8,structured,exo,dissertation_v2/results/videollava/vl_climbing_entire_n8_structured.csv,100,0.26,Novice: 21/25=84.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 1/25=4.0%; Late Expert: 4/25=16.0%,Novice:76; Late Expert:10; Unknown:9; Intermediate Expert:5,trusted-clean
videollava,climbing,trimmed,8,structured,ego,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_structured.csv,100,0.3,Novice: 15/25=60.0%; Early Expert: 1/25=4.0%; Intermediate Expert: 3/25=12.0%; Late Expert: 11/25=44.0%,Novice:55; Late Expert:31; Intermediate Expert:8; Early Expert:4; Unknown:2,trusted-clean
videollava,climbing,trimmed,8,structured,exo,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_structured.csv,100,0.15,Novice: 7/25=28.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 5/25=20.0%; Late Expert: 3/25=12.0%,Novice:58; Intermediate Expert:18; Late Expert:14; Early Expert:8; Unknown:2,trusted-clean
videollava,dance,entire,16,binary,ego,diss_dance/results/videollava/vl_dance_entire_n16_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,dance,entire,16,binary,exo,diss_dance/results/videollava/vl_dance_entire_n16_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,dance,entire,8,binary,ego,diss_dance/results/videollava/vl_dance_entire_n8_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,dance,entire,8,binary,exo,diss_dance/results/videollava/vl_dance_entire_n8_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,dance,trimmed,16,binary,ego,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n16_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,dance,trimmed,16,binary,exo,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n16_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,dance,trimmed,8,binary,ego,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,dance,trimmed,8,binary,exo,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,dance,entire,8,fourclass,ego,diss_dance/results/videollava/vl_dance_entire_n8_fourclass.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
videollava,dance,entire,8,fourclass,exo,diss_dance/results/videollava/vl_dance_entire_n8_fourclass.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
videollava,dance,trimmed,8,fourclass,ego,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_fourclass.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
videollava,dance,trimmed,8,fourclass,exo,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_fourclass.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
videollava,dance,entire,8,reasoning,ego,diss_dance/results/videollava/vl_dance_entire_n8_reasoning.csv,100,0.25,Novice: 0/25=0.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 1/25=4.0%; Late Expert: 24/25=96.0%,Late Expert:95; Intermediate Expert:3; Early Expert:1; Unknown:1,recomputed
videollava,dance,entire,8,reasoning,exo,diss_dance/results/videollava/vl_dance_entire_n8_reasoning.csv,100,0.25,Novice: 0/25=0.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 25/25=100.0%,Late Expert:94; Unknown:5; Early Expert:1,recomputed
videollava,dance,trimmed,8,reasoning,ego,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_reasoning.csv,100,0.31,Novice: 0/25=0.0%; Early Expert: 4/25=16.0%; Intermediate Expert: 3/25=12.0%; Late Expert: 24/25=96.0%,Late Expert:83; Intermediate Expert:11; Early Expert:6,recomputed
videollava,dance,trimmed,8,reasoning,exo,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_reasoning.csv,100,0.22,Novice: 0/25=0.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 22/25=88.0%,Late Expert:86; Unknown:10; Novice:2; Early Expert:2,recomputed
videollava,dance,entire,8,structured,ego,diss_dance/results/videollava/vl_dance_entire_n8_structured.csv,100,0.23,Novice: 10/25=40.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 8/25=32.0%; Late Expert: 5/25=20.0%,Intermediate Expert:44; Novice:35; Late Expert:21,trusted-clean
videollava,dance,entire,8,structured,exo,diss_dance/results/videollava/vl_dance_entire_n8_structured.csv,100,0.19,Novice: 7/25=28.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 11/25=44.0%; Late Expert: 1/25=4.0%,Intermediate Expert:48; Novice:36; Late Expert:16,trusted-clean
videollava,dance,trimmed,8,structured,ego,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_structured.csv,100,0.24,Novice: 4/25=16.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 11/25=44.0%; Late Expert: 9/25=36.0%,Intermediate Expert:54; Late Expert:28; Novice:18,trusted-clean
videollava,dance,trimmed,8,structured,exo,diss_dance/results/videollava/trimmed/vl_dance_trimmed_n8_structured.csv,100,0.26,Novice: 9/25=36.0%; Early Expert: 1/25=4.0%; Intermediate Expert: 11/25=44.0%; Late Expert: 5/25=20.0%,Intermediate Expert:42; Novice:32; Late Expert:25; Early Expert:1,trusted-clean
